[190812]: 81880ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:671 AddRecognizer
[190812]: 81880ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0x10f152128; name='UnsupportedV2ServiceProperties'; value=''
[190812]: 81880ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=733483882, name=ISpxRecognizer in manager 0x14b0397b0
[190812]: 81880ms SPX_TRACE_FUNCTION:  handle_table.h:331 CreateHandleTable
[190812]: 81880ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=733483882, name=ISpxRecognizer
[190812]: 81880ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x10f151c00
[190812]: 81880ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0x10f151c00, p=0x0x10f151c00, tot=1
[190812]: 81880ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:213 recognizer_create_speech_recognizer_from_source_lang_config
[190812]: 81880ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x10f152128
[190812]: 81880ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0x10f152128, p=0x0x10f152128, tot=3
[190812]: 81880ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:193 CSpxHandleTable::StopTracking(h) h=0x0x15c8f23b8
[190812]: 81880ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:208 CSpxHandleTable::StopTracking(h) class=ISpxSourceLanguageConfig, h=0x0x15c8f23b8, p=0x0x15c8f23b8, tot=0
[190812]: 81880ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxPronunciationAssessmentConfig' as '952215491'
[190812]: 81881ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxPropertyBagImpl::SetStringValue: this=0x15d9ef228; name='PronunciationAssessment_Json'; value='{"referenceText":"El suave murmullo del río.","gradingSystem":"HundredMark","granularity":"Phoneme","phonemeAlphabet":"IPA"}'
[190812]: 81881ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=952215491, name=ISpxPronunciationAssessmentConfig in manager 0x14b0397b0
[190812]: 81881ms SPX_TRACE_FUNCTION:  handle_table.h:331 CreateHandleTable
[190812]: 81881ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=952215491, name=ISpxPronunciationAssessmentConfig
[190812]: 81881ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x15d9ef288
[190812]: 81881ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxPronunciationAssessmentConfig, h=0x0x15d9ef288, p=0x0x15d9ef288, tot=1
[190812]: 81881ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0x15d9ef228
[190812]: 81881ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0x15d9ef228, p=0x0x15d9ef228, tot=4
